name,id,used
2Pac,1ZwdS5xdxEREPySFridCfh,false
2 Chainz,17lzZA2AlOHwCwFALHttmp,false
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,false
311,41q0hrwwbtuukjc7c1rp6k,false
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,false
50 Cent,3q7HBObVc0L8jNeTe5Gofh,false
A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,false
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,false
Aaliyah,0urTpYCsixqZwgNTkPJOJ4,false
ABBA,0LcJLqbBmaGUft1e9Mm8HV,false
AC/DC,711MCceyCBcFnzjGY4Q7Un,false
Adele,4dpARuHxo51G3z768sgnrY,false
Addison Rae,4gvjmrtzydbMpyJaXUtwvP,false
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,false
Afrojack,4D75GcNG95ebPtNvoNVXhz,false
AJR,6s22t5Y3prQHyaHWUN1R1C,false
Alanis Morissette,6ogn9necmbUdCppmNnGOdi,false
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,false
Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,false
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,false
Al Green,3dkbV4qihUeMsqN4vBGg93,false
All Time Low,46gyXjRIvN1NL1eCB8GBxo,false
The All American Rejects,3vAaWhdBR38Q02ohXqaNHT,false
The Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,false
The Alchemist,0eVyjRhzZKke2KFYTcDkeu,false
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,false
Anitta,7dzq55YG3wjViqexDwiycQ,false
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,false
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,false
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,false
Arrested Development,5Va9LuEmaZxnbk1gMnjMD7,false
Audioslave,2ziB7fzrXBoh1HUPS6sVFn,false
Avicii,1vCWHaC5f2uS3yhpwWbIA6,false
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,false
Bad Bunny,4q3ewBCX7sLwd24euuV69X,false
BADBADNOTGOOD,65dGLGjkw3UbddUg2GKQoZ,false
The Bangles,51l0uqRxGaczYr4271pVIC,false
Barenaked Ladies,0dEvJpkqhrcn64d3oI8v79,false
Barry White,3rfgbfpPSfXY40lzRK7Syt,false
Bastille,7EQ0qTo7fWT7DPxmxtSYEc,false
BBNO$,41X1TR6hrK8Q2ZCpp2EqCz,false
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,false
Beastie Boys,03r4iKL2g2442PT9n2UKsx,false
Beabadoobee,35l9BRT7MXmM8bv2WDQiyB,false
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,false
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,false
Beck,3vbKDsSS70ZX9D2OcvbZmS,false
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,false
Benson Boone,22wbnEMDvgVIAGdFeek6ET,false
Beyonce,6vWDO969PvNqNYHIOW5v0m,false
Big Sean,0c173mlxpT3dSFRgMO8XPh,false
